radio,mcc,mnc,Company,lac,cid,changeable_0,long,lat,range,sample,changeable_1,created,updated,avgsignal
UMTS,405,857,Jio,53,750865,0,72.039916,21.481978,1000,18,1,1519303239,1519303404,0
UMTS,405,857,Jio,53,750868,0,72.040518,21.479241,1000,22,1,1519303243,1519303329,0
UMTS,405,857,Jio,53,750884,0,72.039963,21.477203,1000,1,1,1519303249,1519303249,0
UMTS,405,857,Jio,53,750897,0,72.040278,21.477792,1000,7,1,1519303251,1519303267,0
UMTS,405,857,Jio,53,750883,0,72.040869,21.484409,1000,41,1,1519303331,1519303498,0
LTE,405,857,Jio,70,458003,0,69.642006,21.626877,1000,1,1,1519912722,1519912722,0
LTE,405,857,Jio,10,1188881,0,72.879158,21.320271,1000,1,1,1520351146,1520351146,0
LTE,405,857,Jio,10,1188899,0,72.879158,21.320271,1000,1,1,1520351263,1520351263,0
UMTS,405,857,Jio,52,2168613,0,71.982726,21.764414,1000,13,1,1522031498,1522031566,0
UMTS,405,857,Jio,53,751888,0,72.052404,21.556566,1000,18,1,1526044132,1526044174,0
UMTS,405,857,Jio,71,1608754,0,72.818436,21.173174,1000,2,1,1526638499,1526638508,0
LTE,405,857,Jio,64,2689573,0,71.327624,21.422751,1889,2,1,1535609077,1540388543,0
LTE,405,857,Jio,64,2160165,0,71.35264,21.452003,5981,3,1,1535609249,1540388843,0
LTE,405,857,Jio,64,3723794,0,71.311516,21.399984,1000,1,1,1535660185,1535660185,0
LTE,405,857,Jio,64,1680420,0,71.311417,21.400814,1000,1,1,1535660195,1535660195,0
LTE,405,857,Jio,64,3723813,0,71.311417,21.400814,1000,1,1,1535660196,1535660196,0
LTE,405,857,Jio,64,1680403,0,71.274734,21.410369,1000,2,1,1535960701,1536304151,0
LTE,405,857,Jio,64,1661973,0,71.312728,21.336238,1000,6,1,1536103174,1540629862,0
UMTS,405,857,Jio,116,1015601,0,72.54467,23.021866,1000,1,1,1541863955,1541863955,0
UMTS,405,857,Jio,116,1015568,0,72.544724,23.021694,1000,1,1,1541864015,1541864015,0
UMTS,405,857,Jio,116,1015569,0,72.544716,23.02169,1000,1,1,1541864076,1541864076,0
UMTS,405,857,Jio,116,1015572,0,72.544693,23.021727,1000,1,1,1541864195,1541864195,0
LTE,405,857,Jio,38,2096660,0,73.112282,23.388714,1000,1,1,1542528457,1542528457,0
LTE,405,857,Jio,120,498962,0,71.247757,21.616983,1000,1,1,1536194040,1536194040,0
LTE,405,857,Jio,120,498960,0,71.247757,21.616983,1000,1,1,1536194040,1536194040,0
LTE,405,857,Jio,120,3847187,0,71.3302,21.671434,1000,1,1,1536194737,1536194737,0
LTE,405,857,Jio,120,3847445,0,71.3302,21.671434,1000,1,1,1536194737,1536194737,0
LTE,405,857,Jio,120,1746480,0,71.471489,21.811571,1000,1,1,1536196753,1536196753,0
LTE,405,857,Jio,56,1153317,0,71.503555,21.805986,1000,1,1,1536196931,1536196931,0
LTE,405,857,Jio,56,1153330,0,71.471489,21.811571,1000,1,1,1536196758,1536196758,0
LTE,405,857,Jio,56,2159893,0,71.549873,21.802973,1000,1,1,1536197405,1536197405,0
LTE,405,857,Jio,120,2967827,0,71.503555,21.805986,1000,1,1,1536196931,1536196931,0
LTE,405,857,Jio,52,1659155,0,71.802109,21.845507,1000,1,1,1536199920,1536199920,0
LTE,405,857,Jio,64,1662002,0,71.313344,21.337157,1000,3,1,1536302851,1540619442,0
LTE,405,857,Jio,64,1661989,0,71.312914,21.33667,1000,4,1,1536302857,1540618232,0
LTE,405,857,Jio,64,1661988,0,71.313156,21.336435,1000,7,1,1536302853,1540651869,0
LTE,405,857,Jio,64,1661969,0,71.312769,21.336387,1000,10,1,1536302851,1540651868,0
LTE,405,857,Jio,64,1661970,0,71.3123,21.336963,1000,9,1,1536417128,1540628066,0
LTE,405,857,Jio,64,1661972,0,71.313244,21.33693,1000,4,1,1536392612,1540619347,0
LTE,405,857,Jio,64,3522320,0,71.274048,21.362238,1000,1,1,1536476468,1536476468,0
LTE,405,857,Jio,64,2556708,0,71.251114,21.416201,1000,1,1,1536471973,1536471973,0
LTE,405,857,Jio,64,3722787,0,71.249557,21.41748,1000,1,1,1536472211,1536472211,0
LTE,405,857,Jio,64,3668240,0,71.274048,21.362238,1000,1,1,1536476469,1536476469,0
LTE,405,857,Jio,64,1680433,0,71.274048,21.362238,1000,1,1,1536476478,1536476478,0
LTE,405,857,Jio,64,3668272,0,71.274048,21.362238,1000,1,1,1536476475,1536476475,0
LTE,405,857,Jio,64,3368208,0,71.300934,21.343019,1000,1,1,1536476792,1536476792,0
LTE,405,857,Jio,64,2785808,0,71.300297,21.339705,1000,2,1,1536476789,1539966948,0
LTE,405,857,Jio,64,3723797,0,71.252541,21.41408,1000,1,1,1536518772,1536518772,0
LTE,405,857,Jio,64,1680405,0,71.252541,21.41408,1000,1,1,1536518773,1536518773,0
LTE,405,857,Jio,64,1949458,0,71.300934,21.343019,1000,1,1,1536476791,1536476791,0
LTE,405,857,Jio,64,1680401,0,71.276825,21.406597,1000,1,1,1536519992,1536519992,0
LTE,405,857,Jio,64,3298353,0,71.312543,21.324947,1794,3,1,1537184690,1540139040,0
LTE,405,857,Jio,64,2785841,0,71.314232,21.306898,1000,4,1,1536525696,1540139341,0
LTE,405,857,Jio,64,3298321,0,71.308723,21.341751,1000,1,1,1537197940,1537197940,0
LTE,405,857,Jio,64,3368241,0,71.310824,21.336198,1000,4,1,1537184697,1540312376,0
LTE,405,857,Jio,64,3298339,0,71.323593,21.371614,1000,1,1,1537841531,1537841531,0
LTE,405,857,Jio,64,3723825,0,71.33542,21.353541,2353,2,1,1537841530,1540285949,0
LTE,405,857,Jio,64,3535891,0,71.397095,21.476887,1000,1,1,1537842235,1537842235,0
LTE,405,857,Jio,64,2160147,0,71.397095,21.476887,1000,1,1,1537842240,1537842240,0
LTE,405,857,Jio,56,2013968,0,71.610985,21.760023,1000,1,1,1537844740,1537844740,0
LTE,405,857,Jio,56,2013987,0,71.611125,21.759885,1000,3,1,1537844737,1537844748,0
LTE,405,857,Jio,56,2010915,0,71.614304,21.759903,1000,1,1,1537844765,1537844765,0
LTE,405,857,Jio,52,3934768,0,71.616333,21.760763,1000,1,1,1537844780,1537844780,0
LTE,405,857,Jio,52,3875378,0,71.616051,21.760576,1000,1,1,1537844778,1537844778,0
LTE,405,857,Jio,56,2014000,0,71.616917,21.762966,1000,2,1,1537844784,1537844834,0
LTE,405,857,Jio,52,1677874,0,71.616585,21.76321,1000,1,1,1537844813,1537844813,0
LTE,405,857,Jio,52,3806514,0,71.79435,21.842731,1000,1,1,1537846470,1537846470,0
LTE,405,857,Jio,52,1659185,0,71.79435,21.842731,1000,1,1,1537846471,1537846471,0
LTE,405,857,Jio,52,1659156,0,71.79483,21.842737,1000,1,1,1537846479,1537846479,0
LTE,405,857,Jio,52,1659173,0,71.79483,21.842737,1000,1,1,1537846477,1537846477,0
LTE,405,857,Jio,52,1168658,0,71.873336,21.877965,1000,6,1,1537846850,1537846855,0
LTE,405,857,Jio,52,1168657,0,71.87574,21.879045,1000,1,1,1537846861,1537846861,0
LTE,405,857,Jio,56,2381077,0,71.886826,22.014717,1000,1,1,1537847587,1537847587,0
LTE,405,857,Jio,51,806163,0,71.886826,22.014717,1000,1,1,1537847587,1537847587,0
LTE,405,857,Jio,50,779813,0,72.135361,22.443407,1000,1,1,1537850192,1537850192,0
LTE,405,857,Jio,50,779826,0,72.143899,22.446344,1050,6,1,1537850218,1537850310,0
LTE,405,857,Jio,50,779794,0,72.145103,22.446409,1000,1,1,1537850235,1537850235,0
